Date,Travel Indicator,Number_B_1_617_2
2021-03-18,Traveller,2
2021-03-23,Under investigation,1
2021-03-28,Traveller,1
2021-03-28,Under investigation,1
2021-03-30,Traveller,3
2021-03-30,Under investigation,1
2021-03-31,Traveller,2
2021-03-31,Under investigation,1
2021-04-01,Traveller,2
2021-04-02,Contact of Traveller,1
2021-04-02,Under investigation,3
2021-04-03,Traveller,4
2021-04-03,Under investigation,2
2021-04-04,Traveller,2
2021-04-04,Under investigation,1
2021-04-05,Traveller,5
2021-04-05,Contact of Traveller,1
2021-04-05,Under investigation,1
2021-04-06,Traveller,11
2021-04-06,Contact of Traveller,5
2021-04-06,Under investigation,2
2021-04-07,Traveller,5
2021-04-07,Not travel-associated,3
2021-04-07,Under investigation,4
2021-04-08,Traveller,4
2021-04-08,Under investigation,4
2021-04-09,Traveller,4
2021-04-09,Under investigation,4
2021-04-10,Traveller,8
2021-04-10,Contact of Traveller,1
2021-04-10,Not travel-associated,2
2021-04-10,Under investigation,5
2021-04-11,Traveller,13
2021-04-11,Contact of Traveller,2
2021-04-11,Not travel-associated,1
2021-04-11,Under investigation,6
2021-04-12,Traveller,7
2021-04-12,Contact of Traveller,5
2021-04-12,Under investigation,2
2021-04-13,Traveller,9
2021-04-13,Not travel-associated,2
2021-04-13,Under investigation,2
2021-04-14,Traveller,18
2021-04-14,Contact of Traveller,1
2021-04-14,Not travel-associated,6
2021-04-14,Under investigation,1
2021-04-15,Traveller,6
2021-04-15,Contact of Traveller,5
2021-04-15,Not travel-associated,10
2021-04-15,Under investigation,12
2021-04-16,Traveller,12
2021-04-16,Contact of Traveller,6
2021-04-16,Not travel-associated,5
2021-04-16,Under investigation,15
2021-04-17,Traveller,17
2021-04-17,Contact of Traveller,7
2021-04-17,Not travel-associated,5
2021-04-17,Under investigation,6
2021-04-18,Traveller,12
2021-04-18,Contact of Traveller,1
2021-04-18,Not travel-associated,4
2021-04-18,Under investigation,7
2021-04-19,Traveller,32
2021-04-19,Contact of Traveller,7
2021-04-19,Not travel-associated,21
2021-04-19,Under investigation,14
2021-04-20,Traveller,18
2021-04-20,Contact of Traveller,4
2021-04-20,Not travel-associated,15
2021-04-20,Under investigation,18
2021-04-21,Traveller,12
2021-04-21,Contact of Traveller,3
2021-04-21,Not travel-associated,22
2021-04-21,Under investigation,20
2021-04-22,Traveller,13
2021-04-22,Contact of Traveller,5
2021-04-22,Not travel-associated,23
2021-04-22,Under investigation,17
2021-04-23,Traveller,2
2021-04-23,Contact of Traveller,10
2021-04-23,Not travel-associated,25
2021-04-23,Under investigation,23
2021-04-24,Traveller,11
2021-04-24,Contact of Traveller,1
2021-04-24,Not travel-associated,19
2021-04-24,Under investigation,25
2021-04-25,Traveller,19
2021-04-25,Contact of Traveller,3
2021-04-25,Not travel-associated,20
2021-04-25,Under investigation,20
2021-04-26,Traveller,20
2021-04-26,Contact of Traveller,5
2021-04-26,Not travel-associated,30
2021-04-26,Under investigation,29
2021-04-27,Traveller,8
2021-04-27,Contact of Traveller,2
2021-04-27,Not travel-associated,20
2021-04-27,Under investigation,15
2021-04-28,Traveller,18
2021-04-28,Contact of Traveller,2
2021-04-28,Not travel-associated,15
2021-04-28,Under investigation,35
2021-04-29,Traveller,5
2021-04-29,Not travel-associated,12
2021-04-29,Under investigation,51
2021-04-30,Traveller,8
2021-04-30,Contact of Traveller,1
2021-04-30,Not travel-associated,29
2021-04-30,Under investigation,78
2021-05-01,Traveller,8
2021-05-01,Not travel-associated,3
2021-05-01,Under investigation,65
2021-05-02,Traveller,5
2021-05-02,Under investigation,55
2021-05-03,Traveller,5
2021-05-03,Under investigation,45
