rr,decline,imp,lik
1.4,0.02,0.6,-Inf
1.45,0.02,0.6,-Inf
1.5,0.02,0.6,-Inf
1.5499999999999998,0.02,0.6,-Inf
1.5999999999999999,0.02,0.6,-Inf
1.65,0.02,0.6,-Inf
1.7,0.02,0.6,-Inf
1.75,0.02,0.6,-Inf
1.7999999999999998,0.02,0.6,-Inf
1.4,0.025,0.6,-Inf
1.45,0.025,0.6,-Inf
1.5,0.025,0.6,-Inf
1.5499999999999998,0.025,0.6,-Inf
1.5999999999999999,0.025,0.6,-Inf
1.65,0.025,0.6,-Inf
1.7,0.025,0.6,-Inf
1.75,0.025,0.6,-Inf
1.7999999999999998,0.025,0.6,-Inf
1.4,0.03,0.6,-Inf
1.45,0.03,0.6,-Inf
1.5,0.03,0.6,-Inf
1.5499999999999998,0.03,0.6,-Inf
1.5999999999999999,0.03,0.6,-Inf
1.65,0.03,0.6,-Inf
1.7,0.03,0.6,-Inf
1.75,0.03,0.6,-Inf
1.7999999999999998,0.03,0.6,-Inf
1.4,0.035,0.6,-Inf
1.45,0.035,0.6,-Inf
1.5,0.035,0.6,-Inf
1.5499999999999998,0.035,0.6,-Inf
1.5999999999999999,0.035,0.6,-Inf
1.65,0.035,0.6,-Inf
1.7,0.035,0.6,-Inf
1.75,0.035,0.6,-Inf
1.7999999999999998,0.035,0.6,-Inf
1.4,0.04,0.6,-Inf
1.45,0.04,0.6,-Inf
1.5,0.04,0.6,-Inf
1.5499999999999998,0.04,0.6,-Inf
1.5999999999999999,0.04,0.6,-Inf
1.65,0.04,0.6,-Inf
1.7,0.04,0.6,-Inf
1.75,0.04,0.6,-Inf
1.7999999999999998,0.04,0.6,-Inf
1.4,0.02,0.8,-Inf
1.45,0.02,0.8,-Inf
1.5,0.02,0.8,-Inf
1.5499999999999998,0.02,0.8,-Inf
1.5999999999999999,0.02,0.8,-Inf
1.65,0.02,0.8,-Inf
1.7,0.02,0.8,-Inf
1.75,0.02,0.8,-Inf
1.7999999999999998,0.02,0.8,-Inf
1.4,0.025,0.8,-Inf
1.45,0.025,0.8,-Inf
1.5,0.025,0.8,-Inf
1.5499999999999998,0.025,0.8,-Inf
1.5999999999999999,0.025,0.8,-Inf
1.65,0.025,0.8,-Inf
1.7,0.025,0.8,-Inf
1.75,0.025,0.8,-Inf
1.7999999999999998,0.025,0.8,-Inf
1.4,0.03,0.8,-Inf
1.45,0.03,0.8,-Inf
1.5,0.03,0.8,-Inf
1.5499999999999998,0.03,0.8,-Inf
1.5999999999999999,0.03,0.8,-Inf
1.65,0.03,0.8,-Inf
1.7,0.03,0.8,-Inf
1.75,0.03,0.8,-Inf
1.7999999999999998,0.03,0.8,-Inf
1.4,0.035,0.8,-Inf
1.45,0.035,0.8,-Inf
1.5,0.035,0.8,-Inf
1.5499999999999998,0.035,0.8,-Inf
1.5999999999999999,0.035,0.8,-Inf
1.65,0.035,0.8,-Inf
1.7,0.035,0.8,-Inf
1.75,0.035,0.8,-Inf
1.7999999999999998,0.035,0.8,-Inf
1.4,0.04,0.8,-Inf
1.45,0.04,0.8,-Inf
1.5,0.04,0.8,-Inf
1.5499999999999998,0.04,0.8,-Inf
1.5999999999999999,0.04,0.8,-Inf
1.65,0.04,0.8,-Inf
1.7,0.04,0.8,-Inf
1.75,0.04,0.8,-Inf
1.7999999999999998,0.04,0.8,-Inf
1.4,0.02,1,-913.0801426961793
1.45,0.02,1,-807.8561911532514
1.5,0.02,1,-782.7018877446793
1.5499999999999998,0.02,1,-714.0814927320937
1.5999999999999999,0.02,1,-706.0858628693056
1.65,0.02,1,-735.5888874035542
1.7,0.02,1,-777.9287482769394
1.75,0.02,1,-893.1095811651581
1.7999999999999998,0.02,1,-1377.6055812890604
1.4,0.025,1,-1034.2615337567722
1.45,0.025,1,-921.8660701474281
1.5,0.025,1,-794.845843713175
1.5499999999999998,0.025,1,-756.7773631679423
1.5999999999999999,0.025,1,-680.192060080502
1.65,0.025,1,-675.6822952203182
1.7,0.025,1,-717.0517016654333
1.75,0.025,1,-729.8420931919895
1.7999999999999998,0.025,1,-961.028789409324
1.4,0.03,1,-1345.1515837338313
1.45,0.03,1,-1140.1276775690167
1.5,0.03,1,-1075.4016150626198
1.5499999999999998,0.03,1,-1002.2800149874618
1.5999999999999999,0.03,1,-842.7755886944137
1.65,0.03,1,-721.2600424799649
1.7,0.03,1,-710.8305766264771
1.75,0.03,1,-720.9953752867239
1.7999999999999998,0.03,1,-1038.1767644440645
1.4,0.035,1,-1750.6927817740607
1.45,0.035,1,-1529.204166772177
1.5,0.035,1,-1376.947166455482
1.5499999999999998,0.035,1,-1045.4496553231352
1.5999999999999999,0.035,1,-975.3811764419775
1.65,0.035,1,-869.6703270343819
1.7,0.035,1,-808.3692203905612
1.75,0.035,1,-753.7365795785879
1.7999999999999998,0.035,1,-1160.521287843985
1.4,0.04,1,-2249.416178061888
1.45,0.04,1,-1922.4570231183823
1.5,0.04,1,-1715.824658096745
1.5499999999999998,0.04,1,-1506.6239107690296
1.5999999999999999,0.04,1,-1498.5729583484429
1.65,0.04,1,-1143.0127936297188
1.7,0.04,1,-941.5140234846018
1.75,0.04,1,-897.0481474427829
1.7999999999999998,0.04,1,-889.0720978759391
1.4,0.02,1.2000000000000002,-786.0065384275642
1.45,0.02,1.2000000000000002,-730.589268803578
1.5,0.02,1.2000000000000002,-728.1207439853124
1.5499999999999998,0.02,1.2000000000000002,-705.4590614330123
1.5999999999999999,0.02,1.2000000000000002,-717.7229613529895
1.65,0.02,1.2000000000000002,-746.3267602609608
1.7,0.02,1.2000000000000002,-845.073477092771
1.75,0.02,1.2000000000000002,-1143.655439735951
1.7999999999999998,0.02,1.2000000000000002,-1751.861721410959
1.4,0.025,1.2000000000000002,-928.7529675263776
1.45,0.025,1.2000000000000002,-795.1520396344039
1.5,0.025,1.2000000000000002,-742.1736309149911
1.5499999999999998,0.025,1.2000000000000002,-700.5327130282262
1.5999999999999999,0.025,1.2000000000000002,-682.5536209059609
1.65,0.025,1.2000000000000002,-785.3119954828423
1.7,0.025,1.2000000000000002,-752.8018232524685
1.75,0.025,1.2000000000000002,-915.1731685665362
1.7999999999999998,0.025,1.2000000000000002,-1086.5306433807327
1.4,0.03,1.2000000000000002,-1267.2221709197534
1.45,0.03,1.2000000000000002,-996.801746210559
1.5,0.03,1.2000000000000002,-895.1956004144279
1.5499999999999998,0.03,1.2000000000000002,-820.996737521679
1.5999999999999999,0.03,1.2000000000000002,-734.9854508541223
1.65,0.03,1.2000000000000002,-705.3605261547832
1.7,0.03,1.2000000000000002,-706.819251145787
1.75,0.03,1.2000000000000002,-826.3296296200449
1.7999999999999998,0.03,1.2000000000000002,-870.0065350847028
1.4,0.035,1.2000000000000002,-1551.470283261368
1.45,0.035,1.2000000000000002,-1331.2073470366413
1.5,0.035,1.2000000000000002,-1264.5325502317783
1.5499999999999998,0.035,1.2000000000000002,-1222.6803963655393
1.5999999999999999,0.035,1.2000000000000002,-841.7149972900048
1.65,0.035,1.2000000000000002,-861.7536797661328
1.7,0.035,1.2000000000000002,-782.7680924320472
1.75,0.035,1.2000000000000002,-789.6256264046731
1.7999999999999998,0.035,1.2000000000000002,-908.1074779795913
1.4,0.04,1.2000000000000002,-2014.1156992483604
1.45,0.04,1.2000000000000002,-1792.5057419130653
1.5,0.04,1.2000000000000002,-1707.9670051278272
1.5499999999999998,0.04,1.2000000000000002,-1373.292502065469
1.5999999999999999,0.04,1.2000000000000002,-1241.1810288902068
1.65,0.04,1.2000000000000002,-1112.0173330315492
1.7,0.04,1.2000000000000002,-970.4359626474095
1.75,0.04,1.2000000000000002,-873.3467246543782
1.7999999999999998,0.04,1.2000000000000002,-888.8053942893239
1.4,0.02,1.4,-735.8421665069809
1.45,0.02,1.4,-709.9185651239261
1.5,0.02,1.4,-716.1393495871378
1.5499999999999998,0.02,1.4,-760.3925136129151
1.5999999999999999,0.02,1.4,-899.9204978919859
1.65,0.02,1.4,-1025.8063542244126
1.7,0.02,1.4,-935.278389670056
1.75,0.02,1.4,-1610.8106341712355
1.7999999999999998,0.02,1.4,-1838.0205826843892
1.4,0.025,1.4,-820.1416407380493
1.45,0.025,1.4,-736.6528233147426
1.5,0.025,1.4,-703.6903653093688
1.5499999999999998,0.025,1.4,-691.5527852093825
1.5999999999999999,0.025,1.4,-703.1533486292885
1.65,0.025,1.4,-733.4272111592413
1.7,0.025,1.4,-1110.2700320119507
1.75,0.025,1.4,-1287.9032802981485
1.7999999999999998,0.025,1.4,-1655.7514475996868
1.4,0.03,1.4,-972.5960708045345
1.45,0.03,1.4,-948.348070993255
1.5,0.03,1.4,-809.2394000936813
1.5499999999999998,0.03,1.4,-725.4015053797
1.5999999999999999,0.03,1.4,-707.8307020468211
1.65,0.03,1.4,-737.4620353679263
1.7,0.03,1.4,-747.9345819924109
1.75,0.03,1.4,-962.6885030690428
1.7999999999999998,0.03,1.4,-1120.6213478328152
1.4,0.035,1.4,-1394.1518136799257
1.45,0.035,1.4,-1216.6272241205725
1.5,0.035,1.4,-1149.8724774599589
1.5499999999999998,0.035,1.4,-946.567736355534
1.5999999999999999,0.035,1.4,-821.6182368728435
1.65,0.035,1.4,-802.5531954537865
1.7,0.035,1.4,-783.8749167520932
1.75,0.035,1.4,-984.3432790631691
1.7999999999999998,0.035,1.4,-958.5668358134461
1.4,0.04,1.4,-1900.8859012887349
1.45,0.04,1.4,-1557.7384217630597
1.5,0.04,1.4,-1327.572531642147
1.5499999999999998,0.04,1.4,-1173.6661526049813
1.5999999999999999,0.04,1.4,-1086.191135558362
1.65,0.04,1.4,-912.3815891831275
1.7,0.04,1.4,-897.6688671800296
1.75,0.04,1.4,-957.9901757796259
1.7999999999999998,0.04,1.4,-1096.3795556816217
1.4,0.02,1.6,-720.8365292344166
1.45,0.02,1.6,-718.5086337691703
1.5,0.02,1.6,-774.122148612408
1.5499999999999998,0.02,1.6,-819.6343203223785
1.5999999999999999,0.02,1.6,-1106.6638696648522
1.65,0.02,1.6,-1328.2338638796023
1.7,0.02,1.6,-1427.5279168859088
1.75,0.02,1.6,-2076.3549167030897
1.7999999999999998,0.02,1.6,-2160.60216626087
1.4,0.025,1.6,-732.5787886966284
1.45,0.025,1.6,-717.4311237930991
1.5,0.025,1.6,-695.4257308814238
1.5499999999999998,0.025,1.6,-870.6303348961
1.5999999999999999,0.025,1.6,-737.3734830806578
1.65,0.025,1.6,-831.1528360792626
1.7,0.025,1.6,-1191.5806899055133
