rr,decline,imp,lik
1.4,0.02,0.6,-Inf
1.45,0.02,0.6,-Inf
1.5,0.02,0.6,-Inf
1.5499999999999998,0.02,0.6,-Inf
1.5999999999999999,0.02,0.6,-Inf
1.65,0.02,0.6,-Inf
1.7,0.02,0.6,-Inf
1.75,0.02,0.6,-Inf
1.7999999999999998,0.02,0.6,-Inf
1.4,0.025,0.6,-Inf
1.45,0.025,0.6,-Inf
1.5,0.025,0.6,-Inf
1.5499999999999998,0.025,0.6,-Inf
1.5999999999999999,0.025,0.6,-Inf
1.65,0.025,0.6,-Inf
1.7,0.025,0.6,-Inf
1.75,0.025,0.6,-Inf
1.7999999999999998,0.025,0.6,-Inf
1.4,0.03,0.6,-Inf
1.45,0.03,0.6,-Inf
1.5,0.03,0.6,-Inf
1.5499999999999998,0.03,0.6,-Inf
1.5999999999999999,0.03,0.6,-Inf
1.65,0.03,0.6,-Inf
1.7,0.03,0.6,-Inf
1.75,0.03,0.6,-Inf
1.7999999999999998,0.03,0.6,-Inf
1.4,0.035,0.6,-Inf
1.45,0.035,0.6,-Inf
1.5,0.035,0.6,-Inf
1.5499999999999998,0.035,0.6,-Inf
1.5999999999999999,0.035,0.6,-Inf
1.65,0.035,0.6,-Inf
1.7,0.035,0.6,-Inf
1.75,0.035,0.6,-Inf
1.7999999999999998,0.035,0.6,-Inf
1.4,0.04,0.6,-Inf
1.45,0.04,0.6,-Inf
1.5,0.04,0.6,-Inf
1.5499999999999998,0.04,0.6,-Inf
1.5999999999999999,0.04,0.6,-Inf
1.65,0.04,0.6,-Inf
1.7,0.04,0.6,-Inf
1.75,0.04,0.6,-Inf
1.7999999999999998,0.04,0.6,-Inf
1.4,0.02,0.8,-Inf
1.45,0.02,0.8,-Inf
1.5,0.02,0.8,-Inf
1.5499999999999998,0.02,0.8,-Inf
1.5999999999999999,0.02,0.8,-Inf
1.65,0.02,0.8,-Inf
1.7,0.02,0.8,-Inf
1.75,0.02,0.8,-Inf
1.7999999999999998,0.02,0.8,-Inf
1.4,0.025,0.8,-Inf
1.45,0.025,0.8,-Inf
1.5,0.025,0.8,-Inf
1.5499999999999998,0.025,0.8,-Inf
1.5999999999999999,0.025,0.8,-Inf
1.65,0.025,0.8,-Inf
1.7,0.025,0.8,-Inf
1.75,0.025,0.8,-Inf
1.7999999999999998,0.025,0.8,-Inf
1.4,0.03,0.8,-Inf
1.45,0.03,0.8,-Inf
1.5,0.03,0.8,-Inf
1.5499999999999998,0.03,0.8,-Inf
1.5999999999999999,0.03,0.8,-Inf
1.65,0.03,0.8,-Inf
1.7,0.03,0.8,-Inf
1.75,0.03,0.8,-Inf
1.7999999999999998,0.03,0.8,-Inf
1.4,0.035,0.8,-Inf
1.45,0.035,0.8,-Inf
1.5,0.035,0.8,-Inf
1.5499999999999998,0.035,0.8,-Inf
1.5999999999999999,0.035,0.8,-Inf
1.65,0.035,0.8,-Inf
1.7,0.035,0.8,-Inf
1.75,0.035,0.8,-Inf
1.7999999999999998,0.035,0.8,-Inf
1.4,0.04,0.8,-Inf
1.45,0.04,0.8,-Inf
1.5,0.04,0.8,-Inf
1.5499999999999998,0.04,0.8,-Inf
1.5999999999999999,0.04,0.8,-Inf
1.65,0.04,0.8,-Inf
1.7,0.04,0.8,-Inf
1.75,0.04,0.8,-Inf
1.7999999999999998,0.04,0.8,-Inf
1.4,0.02,1,-929.9126772363454
1.45,0.02,1,-833.6814744730918
1.5,0.02,1,-761.3277393916702
1.5499999999999998,0.02,1,-744.7109633271483
1.5999999999999999,0.02,1,-725.5891251965918
1.65,0.02,1,-744.4676259190408
1.7,0.02,1,-852.3446078735216
1.75,0.02,1,-1071.3996769522075
1.7999999999999998,0.02,1,-1104.7304937037563
1.4,0.025,1,-1114.6897813702662
1.45,0.025,1,-963.0076351241609
1.5,0.025,1,-816.9443055277605
1.5499999999999998,0.025,1,-771.5220986328794
1.5999999999999999,0.025,1,-683.4930416882828
1.65,0.025,1,-672.6737900490936
1.7,0.025,1,-684.87776693349
1.75,0.025,1,-740.6489314620464
1.7999999999999998,0.025,1,-817.5397160368998
1.4,0.03,1,-1299.7535744965276
1.45,0.03,1,-1105.091573046731
1.5,0.03,1,-1062.7641048712867
1.5499999999999998,0.03,1,-914.0288662228361
1.5999999999999999,0.03,1,-811.1699281674355
1.65,0.03,1,-713.4827948196873
1.7,0.03,1,-699.4433483743387
1.75,0.03,1,-699.4298449976721
1.7999999999999998,0.03,1,-807.7455968456195
1.4,0.035,1,-1773.930864438123
1.45,0.035,1,-1554.453736124156
1.5,0.035,1,-1452.729226525499
1.5499999999999998,0.035,1,-1288.3302140304286
1.5999999999999999,0.035,1,-973.5195949941336
1.65,0.035,1,-868.1324876843792
1.7,0.035,1,-827.3175705500369
1.75,0.035,1,-775.1447998281785
1.7999999999999998,0.035,1,-757.5040160055987
1.4,0.04,1,-2314.2376744959806
1.45,0.04,1,-2083.024710257552
1.5,0.04,1,-1808.1194938186657
1.5499999999999998,0.04,1,-1550.0013036413854
1.5999999999999999,0.04,1,-1376.716078817988
1.65,0.04,1,-1232.1393141936871
1.7,0.04,1,-1030.3013979537382
1.75,0.04,1,-922.5884518367997
1.7999999999999998,0.04,1,-941.6281416938602
1.4,0.02,1.2000000000000002,-850.3023470780769
1.45,0.02,1.2000000000000002,-802.1023715343118
1.5,0.02,1.2000000000000002,-733.3279043343906
1.5499999999999998,0.02,1.2000000000000002,-730.4283729134669
1.5999999999999999,0.02,1.2000000000000002,-750.9973597433582
1.65,0.02,1.2000000000000002,-796.9752124731626
1.7,0.02,1.2000000000000002,-990.6010977637402
1.75,0.02,1.2000000000000002,-988.7238252291752
1.7999999999999998,0.02,1.2000000000000002,-1729.069030879823
1.4,0.025,1.2000000000000002,-956.8207632272661
1.45,0.025,1.2000000000000002,-803.2747176107014
1.5,0.025,1.2000000000000002,-736.0194122637865
1.5499999999999998,0.025,1.2000000000000002,-730.7768264525484
1.5999999999999999,0.025,1.2000000000000002,-684.1452905951555
1.65,0.025,1.2000000000000002,-685.5044189078338
1.7,0.025,1.2000000000000002,-711.2248534725904
1.75,0.025,1.2000000000000002,-877.2599626850607
1.7999999999999998,0.025,1.2000000000000002,-1096.0694122594546
1.4,0.03,1.2000000000000002,-1176.0087678129557
1.45,0.03,1.2000000000000002,-1085.535941174966
1.5,0.03,1.2000000000000002,-954.2532585690817
1.5499999999999998,0.03,1.2000000000000002,-846.7274307144912
1.5999999999999999,0.03,1.2000000000000002,-747.7238932625705
1.65,0.03,1.2000000000000002,-703.3300297540943
1.7,0.03,1.2000000000000002,-692.0919722121928
1.75,0.03,1.2000000000000002,-933.6366695298289
1.7999999999999998,0.03,1.2000000000000002,-936.483609897634
1.4,0.035,1.2000000000000002,-1662.7937900719455
1.45,0.035,1.2000000000000002,-1314.43637652992
1.5,0.035,1.2000000000000002,-1238.1184767906957
1.5499999999999998,0.035,1.2000000000000002,-1101.141867944616
1.5999999999999999,0.035,1.2000000000000002,-933.8426137353688
1.65,0.035,1.2000000000000002,-858.3867671780645
1.7,0.035,1.2000000000000002,-788.7676573318056
1.75,0.035,1.2000000000000002,-840.1962144193037
1.7999999999999998,0.035,1.2000000000000002,-1049.8159750852888
1.4,0.04,1.2000000000000002,-2063.869896701978
1.45,0.04,1.2000000000000002,-1754.0027983118248
1.5,0.04,1.2000000000000002,-1722.8411620797137
1.5499999999999998,0.04,1.2000000000000002,-1265.5558025700839
1.5999999999999999,0.04,1.2000000000000002,-1256.4003235482699
1.65,0.04,1.2000000000000002,-1040.7998105156444
1.7,0.04,1.2000000000000002,-931.8097146441467
1.75,0.04,1.2000000000000002,-926.2928053329283
1.7999999999999998,0.04,1.2000000000000002,-927.0965387409572
1.4,0.02,1.4,-780.7352318012839
1.45,0.02,1.4,-741.7052009495219
1.5,0.02,1.4,-743.4553000314149
1.5499999999999998,0.02,1.4,-790.0613629347841
1.5999999999999999,0.02,1.4,-816.3108084942384
1.65,0.02,1.4,-941.9598263745557
1.7,0.02,1.4,-1207.439935091289
1.75,0.02,1.4,-1498.642524290649
1.7999999999999998,0.02,1.4,-1760.5269353638105
1.4,0.025,1.4,-827.4842461304042
1.45,0.025,1.4,-760.5552548912547
1.5,0.025,1.4,-712.6300858082903
1.5499999999999998,0.025,1.4,-691.0212832972148
1.5999999999999999,0.025,1.4,-743.743878271381
1.65,0.025,1.4,-774.3283732473535
1.7,0.025,1.4,-902.6083877853072
1.75,0.025,1.4,-1104.4581264024632
1.7999999999999998,0.025,1.4,-1965.9835900643877
1.4,0.03,1.4,-1078.9592631440078
1.45,0.03,1.4,-947.5779547761708
1.5,0.03,1.4,-826.0395356889813
1.5499999999999998,0.03,1.4,-750.127411296059
1.5999999999999999,0.03,1.4,-722.6174577565514
1.65,0.03,1.4,-719.4825552877245
1.7,0.03,1.4,-867.1626098543443
1.75,0.03,1.4,-1039.287272787871
1.7999999999999998,0.03,1.4,-1811.6836297824816
1.4,0.035,1.4,-1321.2562328086544
1.45,0.035,1.4,-1189.6089935816622
1.5,0.035,1.4,-975.8847683934326
1.5499999999999998,0.035,1.4,-912.1756944690039
1.5999999999999999,0.035,1.4,-847.002449552688
1.65,0.035,1.4,-801.9634367949752
1.7,0.035,1.4,-802.0835366123281
1.75,0.035,1.4,-960.2748880298223
1.7999999999999998,0.035,1.4,-1193.0364710175538
1.4,0.04,1.4,-1842.7120732536964
1.45,0.04,1.4,-1555.6687887557557
1.5,0.04,1.4,-1378.2214866948536
1.5499999999999998,0.04,1.4,-1251.6478197517947
1.5999999999999999,0.04,1.4,-1060.763378192709
1.65,0.04,1.4,-971.1561992232505
1.7,0.04,1.4,-943.9870295932906
1.75,0.04,1.4,-968.9359214446393
1.7999999999999998,0.04,1.4,-1319.4602197344443
1.4,0.02,1.6,-750.4870825757936
1.45,0.02,1.6,-757.9755571236731
1.5,0.02,1.6,-770.2151426223892
1.5499999999999998,0.02,1.6,-886.3135749138241
1.5999999999999999,0.02,1.6,-975.7959461242085
1.65,0.02,1.6,-1070.356601281002
1.7,0.02,1.6,-1775.7171306604967
1.75,0.02,1.6,-1748.892300809205
1.7999999999999998,0.02,1.6,-2993.0580914814836
1.4,0.025,1.6,-775.256577686632
1.45,0.025,1.6,-726.1227822023243
1.5,0.025,1.6,-702.3553351397833
1.5499999999999998,0.025,1.6,-724.2958332634469
1.5999999999999999,0.025,1.6,-919.4887882317596
1.65,0.025,1.6,-885.4910478678753
1.7,0.025,1.6,-1225.4665798749616
