region,parameter,value
East of England,R_traveller,3.3 (95% CrI: 1.5-8.5)
East of England,R_non_traveller,1.4 (95% CrI: 1.2-1.6)
East of England,R_p7,1.2 (95% CrI: 1.1-1.4)
East of England,R_p17,1.3 (95% CrI: 1-1.5)
East of England,R_non_617,0.95 (95% CrI: 0.93-0.96)
East of England,ratio_617_2,1.48 (95% CrI: 1.3-1.72)
East of England,ratio_617_2_recent,1.29 (95% CrI: 1.13-1.43)
East of England,ratio_617_2_end,1.35 (95% CrI: 1.08-1.6)
East of England,decline,12 (95% CrI: 0.72-29)
East of England,decline_date,2021-05-12 (95% CrI:2021-05-09 - 2021-05-16)
East of England,doubling,19.1
East of England,surge_report,1.2 (95% CrI: 1-1.6)
